map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000292,1,16000044,16000063,16000083,16000005,16000082,16000011,20260406T173008.000Z
15000292,1,16000044,16000063,16000083,16000005,16000082,16000011,20260406T172721.000Z
15000368,1,16000023,16000004,16000037,16000012,16000064,16000046,20260406T172017.000Z
15000368,1,16000023,16000004,16000037,16000012,16000064,16000046,20260406T171855.000Z
15000025,0,16000063,16000085,16000023,16000030,16000089,16000026,20260406T171424.000Z
15000025,0,16000063,16000085,16000023,16000030,16000089,16000026,20260406T171331.000Z
15000011,1,16000074,16000001,16000023,16000059,16000063,16000011,20260406T164632.000Z
15000011,1,16000074,16000001,16000023,16000059,16000063,16000011,20260406T164346.000Z
15000011,0,16000074,16000001,16000023,16000059,16000063,16000011,20260406T164134.000Z
15000025,0,16000102,16000001,16000005,16000011,16000087,16000103,20260406T163733.000Z
15000025,0,16000102,16000001,16000005,16000011,16000087,16000103,20260406T163601.000Z
15000005,1,16000046,16000023,16000079,16000011,16000012,16000021,20260406T162811.000Z
15000005,1,16000046,16000023,16000079,16000011,16000012,16000021,20260406T162552.000Z
15000022,1,16000089,16000005,16000044,16000023,16000099,16000003,20260406T162026.000Z
15000022,1,16000089,16000005,16000044,16000023,16000099,16000003,20260406T161808.000Z
15000022,0,16000089,16000005,16000044,16000023,16000099,16000003,20260406T161550.000Z
15000292,1,16000023,16000044,16000099,16000014,16000012,16000086,20260406T161113.000Z
15000292,1,16000023,16000044,16000099,16000014,16000012,16000086,20260406T160947.000Z
15001021,0,16000083,16000068,16000044,16000099,16000012,16000001,20260406T164801.000Z
15001021,0,16000083,16000068,16000044,16000099,16000012,16000001,20260406T164627.000Z
15000053,0,16000103,16000102,16000002,16000082,16000008,16000059,20260406T164141.000Z
15000053,0,16000103,16000102,16000002,16000082,16000008,16000059,20260406T163958.000Z
15000143,1,16000063,16000026,16000045,16000044,16000023,16000012,20260406T163358.000Z
15000143,0,16000063,16000026,16000045,16000044,16000023,16000012,20260406T163226.000Z
15000143,1,16000063,16000026,16000045,16000044,16000023,16000012,20260406T162937.000Z
15000118,0,16000063,16000070,16000102,16000014,16000030,16000023,20260406T162423.000Z
15000118,0,16000063,16000070,16000102,16000014,16000030,16000023,20260406T162134.000Z
15000548,1,16000023,16000079,16000036,16000015,16000003,16000021,20260406T161646.000Z
15000548,1,16000023,16000079,16000036,16000015,16000003,16000021,20260406T161330.000Z
15000132,1,16000103,16000040,16000083,16000039,16000001,16000012,20260406T160907.000Z
15000132,1,16000103,16000040,16000083,16000039,16000001,16000012,20260406T160645.000Z
15000292,1,16000103,16000028,16000073,16000051,16000011,16000089,20260406T160211.000Z
15000292,1,16000103,16000028,16000073,16000051,16000011,16000089,20260406T160032.000Z
15000703,1,16000021,16000098,16000003,16000004,16000099,16000023,20260406T155448.000Z
15000703,1,16000021,16000098,16000003,16000004,16000099,16000023,20260406T155303.000Z
15000300,0,16000102,16000023,16000092,16000063,16000012,16000019,20260406T142229.000Z
15000300,1,16000102,16000023,16000092,16000063,16000012,16000019,20260406T142001.000Z
15000300,0,16000102,16000023,16000092,16000063,16000012,16000019,20260406T141835.000Z
15000072,0,16000046,16000079,16000036,16000001,16000042,16000099,20260406T141144.000Z
15000072,1,16000046,16000079,16000036,16000001,16000042,16000099,20260406T140856.000Z
15000072,0,16000046,16000079,16000036,16000001,16000042,16000099,20260406T140608.000Z
15000368,1,16000099,16000066,16000015,16000012,16000042,16000003,20260406T140112.000Z
15000368,1,16000099,16000066,16000015,16000012,16000042,16000003,20260406T140016.000Z
15000368,0,16000079,16000064,16000102,16000021,16000090,16000042,20260406T135553.000Z
15000368,0,16000079,16000064,16000102,16000021,16000090,16000042,20260406T135333.000Z
15000368,1,16000079,16000064,16000102,16000021,16000090,16000042,20260406T135150.000Z
15000292,1,16000103,16000059,16000002,16000092,16000030,16000013,20260406T134527.000Z
15000292,1,16000103,16000059,16000002,16000092,16000030,16000013,20260406T134314.000Z
15000300,0,16000005,16000019,16000092,16000074,16000023,16000014,20260406T133315.000Z
15000300,0,16000005,16000019,16000092,16000074,16000023,16000014,20260406T133136.000Z
15000019,1,16000073,16000070,16000075,16000005,16000008,16000002,20260406T132629.000Z
15000019,1,16000073,16000070,16000075,16000005,16000008,16000002,20260406T132509.000Z
15000132,0,16000063,16000001,16000059,16000004,16000089,16000012,20260406T132054.000Z
15000132,0,16000063,16000001,16000059,16000004,16000089,16000012,20260406T131805.000Z
15000053,0,16000009,16000078,16000002,16000066,16000059,16000073,20260406T131409.000Z
15000053,1,16000009,16000078,16000002,16000066,16000059,16000073,20260406T131216.000Z
15000053,0,16000009,16000078,16000002,16000066,16000059,16000073,20260406T131007.000Z
15000011,1,16000059,16000005,16000011,16000074,16000040,16000063,20260406T130515.000Z
15000011,1,16000059,16000005,16000011,16000074,16000040,16000063,20260406T130338.000Z
15000132,1,16000089,16000002,16000063,16000004,16000095,16000001,20260406T174414.000Z
15000132,1,16000089,16000002,16000063,16000004,16000095,16000001,20260406T174149.000Z
15000132,0,16000089,16000002,16000063,16000004,16000095,16000001,20260406T173949.000Z
15000053,1,16000026,16000070,16000099,16000001,16000078,16000004,20260406T173223.000Z
15000053,1,16000026,16000070,16000099,16000001,16000078,16000004,20260406T173002.000Z
15000703,1,16000042,16000021,16000015,16000099,16000003,16000036,20260406T172338.000Z
15000703,1,16000042,16000021,16000015,16000099,16000003,16000036,20260406T172139.000Z
15000022,1,16000064,16000023,16000042,16000061,16000089,16000021,20260406T135459.000Z
