map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15000548,0,16000023,16000059,16000089,16000097,16000061,16000062,f8ce5650e9ff05d6831aab2b06d1541d,181
15000548,1,16000023,16000059,16000089,16000097,16000061,16000062,071dc798f6d40e19815ac64aae691c4c,182
15000548,1,16000056,16000103,16000061,16000025,16000003,16000012,18897cece0fd30cffa4e1720e29f62ac,183
15000548,1,16000056,16000103,16000061,16000025,16000003,16000012,45eb7597adfefe7ebf885849c5f470d3,184
15000011,1,16000030,16000011,16000000,16000095,16000102,16000083,c7c006d4f9abe664cf6fc50e82149793,185
15000011,0,16000030,16000011,16000000,16000095,16000102,16000083,154b7fbd211272fb8a15409f346eed90,186
15000011,1,16000030,16000011,16000000,16000095,16000102,16000083,23753084e61091856a548342908a02d2,187
15000050,0,16000012,16000086,16000074,16000008,16000071,16000004,6d85c336c6c5c9d6b499796fc44081ec,188
15000050,0,16000012,16000086,16000074,16000008,16000071,16000004,a7476df5b2591bee7a283d7b551bc6f3,189
15000132,0,16000025,16000002,16000001,16000023,16000012,16000063,13b038538de580d3c13223c257e60e0b,190
15000132,0,16000025,16000002,16000001,16000023,16000012,16000063,abb8462e10d83af723387f27a0238c84,191
15000018,1,16000001,16000078,16000005,16000012,16000063,16000018,cb08a249386ae93fb09f8a539e273d0b,192
15000018,1,16000001,16000078,16000005,16000012,16000063,16000018,795db13f3607a8e6756dc595d4bc1233,193
15000072,0,16000099,16000001,16000079,16000103,16000027,16000075,aa13961f64b086df1fbfaae2c19894c9,194
15000072,0,16000099,16000001,16000079,16000103,16000027,16000075,a61b692b136b4af4c264d860b3b68cfb,195
15000050,0,16000005,16000063,16000086,16000004,16000084,16000012,a98b594e2a3571261acdb41162b1d678,196
15000050,0,16000005,16000063,16000086,16000004,16000084,16000012,be2612fc826bfee977fa9e1947e975fa,197
15000050,1,16000005,16000063,16000086,16000004,16000084,16000012,bdce31eb58467e20d7a0a106a37ff8d5,198
15000115,0,16000030,16000014,16000074,16000019,16000040,16000063,ca327dcfa628dc45c06864242c4cd2e0,199
15000115,0,16000030,16000014,16000074,16000019,16000040,16000063,dcb31cea3446530dead2d02527cc94a2,200
15000082,1,16000102,16000003,16000089,16000059,16000021,16000098,4a193bfa29bd475abb08b58342535af6,201
15000082,0,16000102,16000003,16000089,16000059,16000021,16000098,5dfc0c5364390d10db5ebcce50ed01ca,202
15000082,1,16000102,16000003,16000089,16000059,16000021,16000098,0a76574e8d982cd39c653348614d5321,203
15000143,0,16000083,16000097,16000005,16000063,16000098,16000050,0e6a3faefeb90642089ffdccc219bb72,204
15000143,0,16000083,16000097,16000005,16000063,16000098,16000050,acb687eb2e87d51f8119b7f8f91746df,205
15000143,1,16000083,16000097,16000005,16000063,16000098,16000050,09f376e8445015831f9d93d8dc368913,206
15000440,1,16000023,16000003,16000002,16000062,16000021,16000004,dcfc29702e9e3d567e5eb85223e13379,207
15000440,1,16000023,16000003,16000002,16000062,16000021,16000004,2abfc4a71edec9a303a850581d4b4ee8,208
15000368,1,16000061,16000031,16000044,16000090,16000064,16000042,d4c7cf0118886cfadad8a8880dae2341,209
15000368,1,16000061,16000031,16000044,16000090,16000064,16000042,affbffd847b6f0f383d4cd45ea8ec711,210
15000010,1,16000004,16000059,16000014,16000005,16000063,16000023,e3cf0e0071958baafeefd999277933bd,211
15000010,1,16000004,16000059,16000014,16000005,16000063,16000023,4289f247e5af8f047ec9a2c61f6014e9,212
15000293,1,16000102,16000087,16000023,16000030,16000063,16000094,223ca07550e82a947a2970371bc58957,213
15000293,1,16000102,16000087,16000023,16000030,16000063,16000094,a9f4b3523375e54e9a8f6e188fe8acd0,214
15000293,0,16000102,16000087,16000023,16000030,16000063,16000094,7a3f69e05b6edbd155973ee27d9bb5e9,215
15000300,0,16000014,16000083,16000035,16000023,16000099,16000040,b34d3a9a1dafd1a1fe153363ea53ea59,216
15000300,0,16000014,16000083,16000035,16000023,16000099,16000040,d99fd14d7fb8ef0183f7a3bd14c046ad,217
15000300,1,16000014,16000083,16000035,16000023,16000099,16000040,9ae463b912d027d2a6f40ce03ad525f4,218
15000143,1,16000068,16000030,16000096,16000045,16000025,16000001,4192e444e4f2519d9de8657e415ff561,219
15000143,1,16000068,16000030,16000096,16000045,16000025,16000001,952bb02335020dc9a70954797c7446ff,220
15000548,1,16000070,16000015,16000039,16000054,16000007,16000059,09377c5e9e24d25ac42047cdb5da53cc,221
15000293,0,16000002,16000086,16000026,16000020,16000083,16000099,d8cb0164e416636fd37d384e7e6ce477,222
15000293,0,16000002,16000086,16000026,16000020,16000083,16000099,2d2a7e6b616148015a2bc967be3f7108,223
15001021,1,16000006,16000030,16000023,16000089,16000099,16000012,454e7a08f71399b08fc70687d6100f58,224
15001021,1,16000006,16000030,16000023,16000089,16000099,16000012,31145a39fa951dd963274d88bf47dddd,225
15000019,1,16000025,16000019,16000001,16000003,16000036,16000099,61e0dab1776c71cdb856cc23dd725ed3,226
15000019,1,16000025,16000019,16000001,16000003,16000036,16000099,3a9ca336a95718c2fdfca88208f35037,227
15000007,1,16000011,16000044,16000023,16000102,16000085,16000099,fd6fe8ccedad531e52cbc0b42cbc9261,228
15000007,1,16000011,16000044,16000023,16000102,16000085,16000099,e39d40461b8de13dd586b18c0351f481,229
15000011,0,16000030,16000025,16000059,16000063,16000012,16000011,8a7265cdd44ee50a2c163a121caa6246,230
15000011,0,16000030,16000025,16000059,16000063,16000012,16000011,ac54547bae3d6c39db9a275459ab1598,231
15000118,1,16000083,16000012,16000002,16000025,16000086,16000089,9933b13c673cec455b38a70dcc14ba5e,232
15000118,1,16000083,16000012,16000002,16000025,16000086,16000089,f978eb7fdea5d05f3157f2dae48d7a9a,233
15000306,1,16000083,16000100,16000012,16000002,16000001,16000013,fb2d342a6b42a24294aa488180cf208a,234
15000306,1,16000083,16000100,16000012,16000002,16000001,16000013,083c1b020171bcf3db91b99aefaa0ce7,235
15000306,0,16000083,16000100,16000012,16000002,16000001,16000013,3d35353afea2dcd1350b8fa11e148e62,236
15001021,1,16000023,16000098,16000063,16000005,16000011,16000074,42eb9e876b2bda831533011656086118,237
15001021,1,16000023,16000098,16000063,16000005,16000011,16000074,8c47e6f05c13a0f32463a14297c1d245,238
15000025,0,16000020,16000102,16000059,16000077,16000086,16000004,a77e5574e3f5ac1862f74d048554f5d9,239
15000025,1,16000020,16000102,16000059,16000077,16000086,16000004,d3675fed667b84537be0dc4bd1a1c6a3,240
15000025,0,16000020,16000102,16000059,16000077,16000086,16000004,6fa149ae6eb9198398cd66cc6539fa6d,241
15000292,1,16000098,16000069,16000097,16000020,16000083,16000102,e56d81e294f8ac223593dc5c9315bb08,242
15000292,1,16000098,16000069,16000097,16000020,16000083,16000102,64c6b6dee267b8ff347f9692a51da52b,243
15000292,0,16000098,16000069,16000097,16000020,16000083,16000102,7cfe824dc89c2575530efb224467926b,244
15000007,1,16000083,16000000,16000023,16000098,16000063,16000002,e1c95d6cb18430d5add5e6eae8acc5bc,245
15000007,1,16000083,16000000,16000023,16000098,16000063,16000002,91b89bcff3ce851372258c57058ab46c,246
15000132,0,16000001,16000074,16000059,16000040,16000099,16000004,a11f5a3fcd7aee6699f1a5406e3b0080,247
15000132,0,16000001,16000074,16000059,16000040,16000099,16000004,13ded04ffccb01b0aee30a7c1d78c61c,248
15000019,1,16000046,16000075,16000078,16000012,16000001,16000079,13dbab6933a9257c84471be47fa6aeee,249
15000019,1,16000046,16000075,16000078,16000012,16000001,16000079,7ee6d37d2fedcc8d9568acdd08f744d8,250
15000005,1,16000036,16000025,16000046,16000094,16000087,16000012,481018804d35406481d18e4c420692cb,251
15000005,0,16000036,16000025,16000046,16000094,16000087,16000012,14a205666d811bab0a98bbf331a20895,252
15000005,1,16000036,16000025,16000046,16000094,16000087,16000012,5199191209c7b1009569818d5c604a9a,253
